Product_Name,Brand,RAM,Offer,Ratings,Selling_Price,Total,Processor_Brand,Processor
Lenovo Slim 3 Chromebook Touch Intel Celeron Dual Core ,Lenovo,4 GB,52% ,3.7,18990,39990,Intel,Intel Celeron Dual Core Processor
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Lenovo Athlon Dual Core 3050U ,Lenovo,4 GB,45% ,4.2,18999,35000,AMD,AMD Athlon Dual Core Processor
Lenovo Athlon Dual Core 3050U ,Lenovo,4 GB,53% ,3.6,17490,37450,AMD,AMD Athlon Dual Core Processor
Lenovo Athlon Dual Core ,Lenovo,4 GB,52% ,4.2,18049,38000,AMD,AMD Athlon Dual Core Processor
HP Chromebook x360 Intel Celeron Dual Core ,HP,4 GB,44% ,4.2,17990,32295,Intel,Intel Celeron Dual Core Processor
Avita SATUS S111 Celeron Dual Core ,Avita,4 GB,45% ,3.7,16490,29990,Intel,Intel Celeron Dual Core Processor
HP Chromebook MediaTek Kompanio 500 ,HP,4 GB,33% ,3.8,16990,25451,MediaTek,MediaTek MediaTek Kompanio 500 Processor
HP Chromebook x360 Intel Celeron Quad Core ,HP,4 GB,44% ,3.7,17990,32295,Intel,Intel Celeron Quad Core Processor
Lenovo IdeaPad 3 Chromebook Intel Celeron Dual Core ,Lenovo,4 GB,57% ,3.5,12990,30690,Intel,Intel Celeron Dual Core Processor
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen ,Infinix,8 GB,37% ,4.2,24990,39990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix INBook X1 Neo Series Celeron Quad Core ,Infinix,4 GB,26% ,4.1,21990,29990,Intel,Intel Celeron Quad Core Processor
Avita SATUS S111 Celeron Dual Core ,Avita,4 GB,45% ,3.7,16490,29990,Intel,Intel Celeron Dual Core Processor
