Product_Name,Total,Selling_Price,Offer,Ratings,Processor,Description
Lenovo Slim 3 Chromebook Touch Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14IGL05 C...,"₹39,990","₹18,990",52% off,3.7,Intel Celeron Dual Core Processor,Intel Celeron Dual Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 inch) Touchscreen Display1 Year Onsite Warranty
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen - (4 GB/128 GB SSD/Windows 11 Home) XL30 Thin an...,"₹29,990","₹20,990",30% off,4.1,Intel Celeron Quad Core Processor (11th Gen),Intel Celeron Quad Core Processor (11th Gen)4 GB LPDDR4X RAMWindows 11 Operating System128 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
Lenovo Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 10 Home) E41-55 Thin and Light Laptop,"₹35,000","₹18,999",45% off,N/A,AMD Athlon Dual Core Processor,AMD Athlon Dual Core Processor4 GB DDR4 RAMWindows 10 Operating System256 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty
Lenovo Athlon Dual Core 3050U - (4 GB/256 GB SSD/DOS) E41-55 Thin and Light Laptop,"₹37,450","₹17,490",53% off,3.6,AMD Athlon Dual Core Processor,AMD Athlon Dual Core Processor4 GB DDR4 RAMDOS Operating System256 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty
Lenovo Athlon Dual Core - (4 GB/256 GB SSD/DOS) E41-55 45-2 Laptop,"₹38,000","₹18,049",52% off,N/A,AMD Athlon Dual Core Processor,AMD Athlon Dual Core Processor4 GB DDR4 RAMDOS Operating System256 GB SSD35.56 cm (14 inch) Displayon site
HP Chromebook x360 Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Thin and...,"₹32,295","₹17,990",44% off,4.2,Intel Celeron Dual Core Processor,Intel Celeron Dual Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite Warranty
Avita SATUS S111 Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) NU14A1INC43PN-CG Laptop,"₹29,990","₹16,490",45% off,3.7,Intel Celeron Dual Core Processor,Intel Celeron Dual Core Processor4 GB DDR4 RAM64 bit Windows 11 Operating System128 GB SSD35.81 cm (14.1 Inch) Display1 Year Onsite Warranty
HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11a-na0004MU Chromebook,"₹25,451","₹16,990",33% off,3.8,MediaTek MediaTek Kompanio 500 Processor,MediaTek MediaTek Kompanio 500 Processor4 GB LPDDR4X RAMChrome Operating System29.46 cm (11.6 inch) Touchscreen Display1 Year Onsite Warranty
HP Chromebook x360 Intel Celeron Quad Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0504TU Thin and...,"₹32,295","₹17,990",44% off,3.7,Intel Celeron Quad Core Processor,Intel Celeron Quad Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite warranty
Lenovo IdeaPad 3 Chromebook Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) ideapad 3 cb...,"₹30,690","₹12,990",57% off,3.5,Intel Celeron Dual Core Processor,Intel Celeron Dual Core Processor4 GB LPDDR4 RAMChrome Operating System29.46 cm (11.6 Inch) Display1 Year Onsite�Warranty
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL30 Thin and...,"₹39,990","₹24,990",37% off,N/A,Intel Celeron Quad Core Processor (11th Gen),Intel Celeron Quad Core Processor (11th Gen)8 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light...,"₹29,990","₹21,990",26% off,4.1,Intel Celeron Quad Core Processor,Intel Celeron Quad Core Processor4 GB LPDDR4X RAM64 bit Windows 11 Operating System128 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty
Avita SATUS S111 Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) NU14A1INC43PN-SG Laptop,"₹29,990","₹16,490",45% off,3.7,Intel Celeron Dual Core Processor,Intel Celeron Dual Core Processor4 GB DDR4 RAM64 bit Windows 11 Operating System128 GB SSD35.81 cm (14.1 Inch) Display1 Year Domestic Warranty
Lenovo Athlon Dual Core - (4 GB/1 TB HDD/DOS) 82FJ009JIH Business Laptop,"₹29,999","₹17,990",40% off,N/A,AMD Athlon Dual Core Processor,AMD Athlon Dual Core Processor4 GB DDR4 RAMDOS Operating System1 TB HDD35.56 cm (14 inch) Display1 Year Domestic
HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11A-NA0002MU Chromebook,"₹25,451","₹18,250",28% off,3.8,MediaTek MediaTek Kompanio 500 Processor,"MediaTek MediaTek Kompanio 500 Processor4 GB DDR4 RAM32 bit Chrome Operating System29.46 cm (11.6 inch) Touchscreen DisplayPre-installed G-suite Apps, Linux Kernel and Apps, Chrome Web Extensions, Google Play Store, HP Audio Switch, HP ePrint, HP Support Assistant, Dropbox1 Year Onsite Warranty"
ASUS Chromebook Celeron Dual Core - (4 GB/32 GB EMMC Storage/Chrome OS) C223NA-GJ0074 Chromebook,"₹21,990","₹19,490",11% off,3.5,Intel Celeron Dual Core Processor,Intel Celeron Dual Core Processor4 GB LPDDR4 RAMChrome Operating System29.46 cm (11.6 inch) Display1 Year Onsite Warranty
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL30 Thin and...,"₹34,990","₹23,490",32% off,4.1,Intel Celeron Quad Core Processor (11th Gen),Intel Celeron Quad Core Processor (11th Gen)8 GB LPDDR4X RAMWindows 11 Operating System256 GB SSD100.63 cm (39.62 cm) Display1 Year Onsite Warranty
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen - (4 GB/128 GB SSD/Windows 11 Home) XL30 Thin an...,"₹29,990","₹20,990",30% off,4.1,Intel Celeron Quad Core Processor (11th Gen),Intel Celeron Quad Core Processor (11th Gen)4 GB LPDDR4X RAMWindows 11 Operating System128 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
ASUS EeeBook 12 Celeron Dual Core - (4 GB/64 GB EMMC Storage/Windows 11 Home) E210MA-GJ011W Thin and L...,"₹27,990","₹14,990",46% off,4.4,Intel Celeron Dual Core Processor,Intel Celeron Dual Core Processor4 GB DDR4 RAM64 bit Windows 11 Operating System29.46 cm (11.6 Inch) Display1 Year Onsite warranty
ASUS EeeBook 12 Celeron Dual Core - (4 GB/64 GB EMMC Storage/Windows 10 Home) E210MA-GJ011T Thin and L...,"₹27,990","₹14,990",46% off,3.7,Intel Celeron Dual Core Processor,"Intel Celeron Dual Core Processor4 GB DDR4 RAMWindows 10 Operating System29.46 cm (11.6 inch) DisplaySplendid (All Models), Tru2Life (Intel Platform Models), Link to MyASUS (All Models, Bluetooth Needed)1 Year Onsite Warranty"
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL30 Thin and...,"₹39,990","₹24,990",37% off,N/A,Intel Celeron Quad Core Processor (11th Gen),Intel Celeron Quad Core Processor (11th Gen)8 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
